Altium Designer Pick and Place Locations
C:\Users\camil\OneDrive\Área de Trabalho\GitHub\ArduinoUno_project\ArduinoUno_project\.\Generate Files\Pick Place\ArduinoUno_project.txt

========================================================================================================================
File Design Information:

Date:       17/12/24
Time:       21:30
Revision:   d814a8069a64290cc1432c995a3ed37fae232aee
Variant:    No variations
Units used: mm

Designator Comment            Layer    Footprint                        Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                     
P3         8P                 TopLayer RHDR8W76P0X254_1X8_2032X356X673P 74.5905      118.1720     360      "Connector Socket Strip RCP 8 POS 2.54mm Solder ST Thru-Hole Gang of Tubes"                                                                     
P1         8P                 TopLayer RHDR8W76P0X254_1X8_2032X356X673P 97.1540      118.1720     180      "Connector Socket Strip RCP 8 POS 2.54mm Solder ST Thru-Hole Gang of Tubes"                                                                     
C12        47uF               TopLayer CAPAE660X565N                    32.8600      105.4700     180      "Cap Aluminum 47uF 25V 20% (6.3 X 5.4mm) SMD 70mA 2000 hr 85°C T/R -    PN Alternativo : EDK476M025A9GAA"                                       
C11        47uF               TopLayer CAPAE660X565N                    32.8100      113.2100     180      "Cap Aluminum 47uF 25V 20% (6.3 X 5.4mm) SMD 70mA 2000 hr 85°C T/R -    PN Alternativo : EDK476M025A9GAA"                                       
Y2         ATS16B             TopLayer ATS16B                           70.6900      104.1200     360      "Crystal or Oscillator"                                                                                                                         
Y1         ATS16B             TopLayer ATS16B                           57.8200      94.1600      360      "Crystal or Oscillator"                                                                                                                         
VIN        Function           TopLayer Pin_-_1                          31.2420      122.5550     0        ""                                                                                                                                              
U1         ATMEGA16U2-AU      TopLayer QFP80P900X900X120-32N            55.9800      81.8100      270      "AVR AVRÂ® ATmega Microcontroller IC 8-Bit 16MHz 16KB (8K x 16) FLASH 32-TQFP (7x7)"                                                            
R12        1k                 TopLayer RESAD1075W45L335D185             49.5100      118.5900     180      "KOA Axial Metal Film Resistor 1k +/-1% 0.25W +/-50ppm/C"                                                                                       
R11        10k                TopLayer RC0603                           39.7400      98.7100      90       "10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric)  Thick Film"                                                                         
R10        10k                TopLayer RC0603                           38.0700      98.7100      270      "10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric)  Thick Film"                                                                         
R9         1k                 TopLayer RESAD1075W45L335D185             43.3800      91.0500      180      "KOA Axial Metal Film Resistor 1k +/-1% 0.25W +/-50ppm/C"                                                                                       
R8         1k                 TopLayer RESAD1075W45L335D185             43.3800      94.0100      180      "KOA Axial Metal Film Resistor 1k +/-1% 0.25W +/-50ppm/C"                                                                                       
R7         1k                 TopLayer RESAD1075W45L335D185             83.7700      105.9700     360      "KOA Axial Metal Film Resistor 1k +/-1% 0.25W +/-50ppm/C"                                                                                       
